week;term;definition_b1;collocation_1;collocation_2;ua;source_sentence;added_at
w12;affirm;to state or declare something firmly and publicly as true;affirm responsibility;affirm commitment;"стверджувати; підтверджувати";I affirm that all AI-generated and co-created content underwent thorough review and evaluation.;2026-09-09
w12;instrumental;acting as an important and effective means in achieving an objective;instrumental in the process;play an instrumental role;"важливий; такий, що відіграв ключову роль";While AI assistance was instrumental in the process, I maintain full responsibility for the content, its accuracy, and its presentation.;2026-09-09
w13;consolidate;to combine and strengthen separate pieces of knowledge or skills into a solid whole;consolidate learning;consolidate gains;"закріплювати; об'єднувати в єдине ціле";Consolidate key learnings from the course;2026-09-09
w13;cover ground;to travel over distance or deal with a large amount of material and information;cover a lot of ground;cover ground together;"охопити великий обсяг матеріалу; пройти значний шлях";Over a short period, we've covered quite a lot of ground together, exploring the AI fluency framework and seeing how it applies to everyday collaboration with AI.;2026-09-09
w13;non-negotiable;mandatory and not open to debate, change, or compromise;non-negotiable responsibility;non-negotiable requirement;"такий, що не підлягає обговоренню; обов'язковий";For discernment, critical evaluation of AI outputs is a non-negotiable responsibility.;2026-09-09
w13;overnight;happening very quickly, suddenly, or within a single day;not mastered overnight;overnight success;"за одну ніч; раптово / миттєво";These competencies aren't mastered overnight.;2026-09-09
w13;silver bullet;a simple, magical solution that instantly solves a complicated problem;not a silver bullet;search for a silver bullet;"панацея; магічне універсальне вирішення";These are powerful systems, but they're not silver bullets or magical solutions to every problem.;2026-09-09
w13;back-and-forth;an active discussion or dialogue moving in alternating directions between parties;back-and-forth conversation;back-and-forth dialogue;"взаємний обмін думками; живий діалог туди-сюди";Practice the art of description and discernment, that thoughtful back-and-forth conversation that transforms AI from simple automation machines into genuine thinking partners.;2026-09-09
w13;dilemma;a difficult situation where a person must choose between two unfavorable options;ethical dilemma;face a dilemma;"дилема; складний вибір";Develop decision-making criteria for addressing ethical dilemmas;2026-09-09
w13;attribution;the act of giving credit to the creator or source of an idea or content;proper attribution;attribution statement;зазначення авторства / джерела;Create templates for attribution and transparency statements;2026-09-09
w13;shape;to influence, guide, and determine the development or future of something;shape the future;shape collaboration;"формувати; впливати на розвиток";The future of human-AI collaboration is bright, and you're now better equipped to shape it thoughtfully.;2026-09-09
w13;widely applicable;able to be used or put into practice across many different fields and situations;widely applicable framework;widely applicable skills;широко застосовний;The fluency framework is designed to be widely applicable to the broad range of generative AI assistants and remain relevant even as AI systems continue to evolve, but it is up to us to make sure we continue to apply our learning as well.;2026-09-09
w13;equipped;having the necessary skills, tools, or knowledge to do a particular task;well equipped;better equipped;"озброєний (знаннями); підготовлений";The future of human-AI collaboration is bright, and you're now better equipped to shape it thoughtfully.;2026-09-09
w13;integrity;the quality of being honest and possessing strong moral principles;maintain integrity;build trust and integrity;"доброчесність; принциповість; цілісність";Being transparent about AI's role in your work builds trust and integrity.;2026-09-09
w14;resonate;to produce a positive feeling of emotional or intellectual connection;resonate with interests;resonate deeply;"відгукуватися; викликати інтерес / співзвуччя";Choose the ones that resonate with your interests and needs—or use them as inspiration to create your own!;2026-09-09
w14;proficiency;a high degree of skill, competence, or expertise in a subject;level of proficiency;demonstrate proficiency;"рівень володіння; кваліфікація / майстерність";For each of the 4D competencies, rate your current level of proficiency (novice, developing, confident);2026-09-09
w14;placeholder;a temporary symbol or text used to mark where specific data will be inserted later;include placeholders;variable placeholder;"плейсхолдер; заповнювач місця (для змінних)";Include placeholders or notes for variable information you'll need to add each time;2026-09-09
w14;recur;to happen again, periodically, or repeatedly over time;recurring interactions;recurring tasks;"повторюватися; періодично виникати знову";Create a personalized collection of effective prompts and patterns for your recurring AI interactions with the help of Claude:;2026-09-09
w14;playful;intended for fun, enjoyment, and lighthearted experimentation;playful exercises;playful approach;"грайливий; невимушено-ігровий";These playful exercises for both you and Claude help you practice precise Description and sharpen your Discernment skills through word puzzles.;2026-09-09
w14;tricky;requiring great care, skill, or attention because of hidden difficulties;deliberately tricky;tricky problem;"хитрий; підступний; складний";And because they're deliberately tricky, they provide great Discernment workouts!;2026-09-09
w14;nudge;to encourage or guide someone gently in a specific direction;gently nudge;nudge in the right direction;"м'яко підштовхувати; скеровувати";Then don’t give it the answer, but rather gently nudge Claude towards the right chain-of-thought and context to get to the answer.;2026-09-09
w14;steering;guiding, controlling, or directing the course of a process or interaction;steering skills;steering the conversation;навички спрямування / керування (ходом думок/діалогу);These steering skills will prove surprisingly useful in a “real” project.;2026-09-09
w14;cohesive;forming a united, well-integrated, and logically consistent whole;cohesive theme;cohesive structure;"зв'язний; цілісний; згуртований";Do the answers make logical sense and truly fit a cohesive theme?;2026-09-09
w14;coherence;the logical, smooth, and consistent connection of ideas in a text or plan;maintain coherence;narrative coherence;"узгодженість; логічна зв'язність";Observe how you both maintain narrative coherence and build on each other's ideas.;2026-09-09
w14;thorny;full of unexpected difficulties, complexities, or tough challenges;thorny problems;thorny issues;"тернистий; заплутаний / гострий (про проблему)";If you are a programmer, you can swap out the puzzles and instead tackle thorny problems like https://projecteuler.net/ with Claude;2026-09-09
w14;self-directed;guided, organized, and managed by oneself without direct external control;self-directed learning;self-directed plan;"самостійний; самокерований";The following activities are designed for self-directed learning after completing the AI Fluency: Framework and Foundations course.;2026-09-09
